"name","century"
"First mention of the towns Turov and Polotsk","9"
"Foundation of the Kievan Rus","10"
"Start of the spread of Christianity in Belarus","10"
"Battle on the Nemiga, first mention of Minsk","11"
"Foundation of the Grand Duchy of Lithuania","13"
"Battle of Tannenberg","15"
"Adoption of Magdeburg Law in Minsk","15"
"Union of Lublin, founding of Poland-Lithuania","16"
"Great Northern War","18"
"Development and establishment of the Jesuit academy in Polots","19"
"October Revolution, Proclamation of Soviet rule in Belarus","20"
"First World War","20"
"Outbreak of the Great Patriotic War (Russian for Second World War)","20"
